payment_id,payment_type,payment_amount,payment_date
175,cash,2000,2019-03-08
176,cash,1900,2019-04-26
177,cash,1100,2018-05-08
178,cash,700,2019-10-08
179,cash,1500,2012-07-01
180,cash,700,2016-05-24
181,cash,2000,2015-02-10
182,cash,400,2019-12-29
183,cash,1600,2017-08-29
184,cash,400,2015-12-06
185,cash,2400,2018-10-12
186,cash,2200,2019-07-04
187,cash,1800,2018-10-23
188,cash,900,2016-09-14
189,cash,1200,2014-07-13
190,cash,600,2015-07-13
191,cash,1800,2019-10-23
192,cash,1500,2018-08-31
193,cash,1100,2017-10-06
194,cash,2100,2016-08-17
195,cash,1400,2013-12-26
196,cash,2300,2019-01-18
197,cash,300,2018-11-18
198,cash,1500,2016-09-08
199,cash,1100,2014-07-30
200,cash,900,2019-07-16
201,cash,2300,2017-08-22
202,cash,1100,2019-02-17
203,cash,1600,2014-07-27
204,cash,500,2017-02-18
205,cash,800,2012-12-15
206,cash,2000,2019-12-22
207,cash,2300,2014-05-24
208,cash,1600,2017-01-04
209,cash,1800,2019-12-27
210,cash,1900,2018-12-12
211,cash,600,2019-12-14
212,cash,1400,2019-03-29
213,cash,1000,2019-10-15
214,cash,1200,2019-07-20
215,cash,1900,2019-08-03
216,cash,2400,2014-12-26
217,cash,2400,2018-02-17
218,cash,800,2013-12-10
219,cash,2200,2019-12-30
220,cash,1900,2018-04-20
221,cash,2300,2018-11-25
222,cash,1500,2018-09-25
223,cash,900,2017-09-08
224,cash,2200,2019-06-21
225,cash,1900,2019-12-30
226,cash,1600,2014-07-06
227,cash,1500,2019-07-21
228,cash,1700,2012-07-28
229,cash,2200,2019-10-22
230,cash,2000,2019-07-29
231,cash,1600,2018-11-25
232,cash,400,2012-06-16
233,cash,2400,2019-10-15
234,cash,1000,2013-10-03
235,cash,1800,2018-12-31
236,cash,2100,2018-11-20
237,cash,1700,2019-12-08
238,cash,600,2016-11-29
239,cash,1400,2019-10-10
240,cash,1800,2019-08-10
241,cash,1900,2016-09-22
242,cash,1400,2018-01-14
243,cash,900,2019-05-30
244,cash,2100,2013-05-19
245,cash,500,2017-04-12
246,cash,1700,2019-12-20
247,cash,300,2017-11-07
248,cash,2500,2018-05-08
249,cash,2400,2019-12-06
250,cash,2400,2012-06-25
251,cash,500,2019-12-23
252,cash,300,2016-02-14
253,cash,1700,2014-09-12
254,cash,2500,2019-05-15
255,cash,400,2015-04-01
256,cash,2000,2019-12-26
257,cash,2300,2017-09-13
258,cash,2100,2017-05-10
259,cash,1100,2019-12-26
260,cash,1300,2017-03-22
261,cash,1900,2016-05-08
262,cash,1100,2018-11-14
263,cash,400,2013-05-05
264,cash,600,2017-12-31
265,cash,600,2013-09-17
266,cash,400,2013-04-09
267,cash,1000,2019-12-13
268,cash,700,2018-04-02
269,cash,600,2018-05-16
270,cash,2100,2016-07-15
271,cash,300,2019-12-09
272,cash,1600,2016-01-20
273,cash,600,2014-08-05
274,cash,800,2018-02-17
275,cash,2000,2016-09-23
276,cash,700,2016-08-21
277,cash,2000,2012-12-07
278,cash,2400,2019-12-15
279,cash,2400,2019-10-26
280,cash,1600,2018-08-29
281,cash,1100,2018-06-16
282,cash,900,2019-05-09
283,cash,1800,2017-04-07
284,cash,2000,2019-11-07
285,cash,1500,2019-03-21
286,cash,900,2019-12-19
287,cash,1900,2018-09-05
288,cash,2000,2016-05-07
289,cash,600,2019-11-11
290,cash,2400,2018-10-20
291,cash,500,2014-04-12
292,cash,1700,2019-07-08
293,cash,1500,2019-11-29
294,cash,1900,2015-07-26
295,cash,1100,2017-07-27
296,cash,1800,2017-02-06
297,cash,1700,2014-07-02
298,cash,500,2015-01-09
299,cash,900,2018-05-16
300,cash,900,2019-12-12
301,cash,1100,2018-08-10
302,cash,2300,2019-10-29
303,cash,600,2018-05-26
304,cash,700,2013-10-10
305,cash,1200,2015-02-02
306,cash,1200,2014-01-07
307,cash,1200,2019-03-25
308,cash,2400,2019-12-30
309,cash,1800,2018-02-26
310,cash,1900,2019-10-20
311,cash,1000,2018-04-06
312,cash,1200,2019-01-19
313,cash,400,2015-06-27
314,cash,1800,2019-05-05
315,cash,2100,2016-01-28
316,cash,2500,2014-10-30
317,cash,2300,2018-03-19
318,cash,2500,2019-09-04
319,cash,700,2013-10-27
320,cash,700,2014-10-03
321,cash,1000,2016-09-17
322,cash,2100,2014-04-14
323,cash,1200,2018-02-25
324,cash,2100,2014-07-01
325,cash,500,2019-07-03
326,cash,1600,2019-02-03
327,cash,300,2013-11-20
328,cash,2300,2017-08-31
329,cash,1300,2015-06-11
330,cash,1100,2019-10-31
331,cash,400,2018-02-17
332,cash,1900,2017-12-04
333,cash,1400,2019-12-29
334,cash,1200,2014-02-26
335,cash,1400,2019-10-29
336,cash,1100,2016-12-07
337,cash,1400,2019-06-28
338,cash,2400,2014-12-07
339,cash,800,2014-08-04
340,cash,1100,2019-12-03
341,cash,2300,2016-10-07
342,cash,1700,2019-10-23
343,cash,600,2015-04-03
344,cash,600,2010-11-17
345,cash,2100,2019-03-11
346,cash,1500,2019-11-15
347,cash,1100,2017-09-27
348,cash,400,2017-02-12
349,cash,700,2016-02-15
350,cash,2300,2019-07-23
351,cash,1000,2019-12-19
352,cash,400,2017-03-24
353,cash,400,2019-09-26
354,cash,700,2016-10-20
355,cash,1900,2016-12-10
356,cash,1800,2015-10-11
357,cash,400,2013-12-06
358,cash,600,2019-05-16
359,cash,2500,2012-09-03
360,cash,900,2018-10-01
361,cash,1100,2012-05-02
362,cash,1900,2015-09-13
363,cash,1800,2019-04-24
364,cash,400,2016-05-03
365,cash,1600,2019-10-05
366,cash,1500,2017-11-02
367,cash,2200,2019-10-30
368,cash,1700,2016-09-05
369,cash,1900,2017-05-05
370,cash,400,2011-10-15
371,cash,1600,2016-05-28
372,cash,2500,2017-06-04
373,cash,1300,2018-12-31
374,cash,2000,2016-09-10
375,cash,2100,2018-01-24
376,cash,2100,2018-02-02
377,cash,1400,2013-07-29
378,cash,1800,2019-05-03
379,cash,1200,2019-06-01
380,cash,2100,2018-08-16
381,cash,2200,2018-05-20
382,cash,1000,2017-05-02
383,cash,2200,2018-05-30
384,cash,1700,2019-04-05
385,cash,1700,2018-04-27
386,cash,500,2018-10-22
387,cash,1400,2014-03-25
388,cash,1000,2016-10-15
389,cash,2300,2015-08-03
390,cash,700,2019-06-24
391,cash,900,2018-02-15
392,cash,1700,2019-12-26
393,cash,1900,2018-03-31
394,cash,2200,2016-08-20
395,cash,1100,2014-04-21
396,cash,900,2017-10-18
397,cash,1700,2018-06-23
398,cash,2100,2019-10-20
399,cash,900,2013-03-04
400,cash,600,2018-04-12
401,cash,1000,2018-11-05
402,cash,1600,2018-02-24
403,cash,1200,2012-04-06
404,cash,700,2018-07-12
405,cash,1700,2016-06-12
406,cash,800,2019-11-16
407,cash,1700,2019-02-15
408,cash,1000,2018-05-07
409,cash,2100,2019-09-13
410,cash,1800,2019-12-31
411,cash,600,2018-11-13
412,cash,900,2016-09-14
413,cash,1000,2019-10-14
414,cash,900,2016-02-21
415,cash,2000,2017-09-26
416,cash,1500,2013-04-27
417,cash,1300,2019-05-26
418,cash,1000,2018-08-03
419,cash,500,2016-10-14
420,cash,1400,2015-07-17
421,cash,2000,2016-05-02
422,cash,700,2019-10-05
423,cash,1600,2019-02-12
424,cash,2200,2018-07-01
425,cash,800,2015-07-03
426,cash,600,2017-09-15
427,cash,1700,2019-03-02
428,cash,1400,2014-07-27
429,cash,800,2014-06-14
430,cash,2200,2018-06-25
431,cash,1600,2015-03-29
432,cash,2400,2018-04-16
433,cash,1000,2017-04-16
434,cash,1100,2018-05-31
435,cash,300,2015-01-10
436,cash,1800,2019-12-22
437,cash,800,2019-05-03
438,cash,700,2019-07-13
439,cash,1900,2019-12-13
440,cash,1600,2019-12-13
441,cash,1900,2018-05-26
442,cash,1500,2017-04-13
443,cash,1800,2016-03-10
444,cash,1000,2014-11-29
445,cash,2300,2013-09-16
446,cash,1300,2018-12-11
447,cash,700,2018-06-01
448,cash,1800,2014-01-21
449,cash,1500,2018-08-12
450,cash,1200,2016-11-30
451,cash,1200,2018-03-02
452,cash,700,2015-10-01
453,cash,900,2018-05-25
454,cash,1100,2018-07-06
455,cash,700,2019-04-02
456,cash,2500,2018-12-11
457,cash,1800,2016-05-14
458,cash,1100,2015-12-01
459,cash,900,2018-08-06
460,cash,2200,2016-12-03
461,cash,2100,2017-04-04
462,cash,600,2016-11-24
463,cash,2400,2015-01-14
464,cash,1100,2019-03-17
465,cash,1400,2017-11-25
466,cash,2500,2017-04-11
467,cash,2400,2013-12-21
468,cash,1700,2017-08-14
469,cash,400,2019-02-07
470,cash,1700,2019-07-09
471,cash,2500,2018-07-01
472,cash,1200,2012-07-02
473,cash,400,2016-01-28
474,cash,2300,2017-02-28
475,cash,2200,2012-11-15
476,cash,2100,2018-03-04
477,cash,1500,2015-06-25
478,cash,800,2018-07-21
479,cash,2300,2019-12-03
480,cash,1500,2013-07-16
481,cash,1400,2015-01-17
482,cash,1000,2015-09-01
483,cash,1600,2015-03-15
484,cash,2500,2013-02-20
485,cash,1200,2014-10-11
486,cash,1100,2013-02-24
487,cash,900,2018-08-24
488,cash,1100,2017-07-08
489,cash,600,2012-07-19
490,cash,2400,2019-09-18
491,cash,1700,2017-08-06
492,cash,1500,2010-12-17
493,cash,500,2018-12-25
494,cash,400,2019-07-20
495,cash,900,2015-07-27
496,cash,1600,2012-07-25
497,cash,1300,2014-08-03
498,cash,300,2018-11-10
499,cash,1200,2013-01-28
500,cash,800,2019-05-27
501,cash,300,2017-04-12
502,cash,2300,2016-12-08
503,cash,400,2017-01-15
504,cash,1000,2016-02-08
505,cash,300,2019-10-19
506,cash,2500,2019-09-15
507,cash,1500,2015-03-14
508,cash,1200,2019-12-04
509,cash,2500,2019-03-27
510,cash,1800,2019-04-02
511,cash,700,2017-03-13
512,cash,2300,2019-01-18
513,cash,1800,2017-09-19
514,cash,1700,2015-03-25
515,cash,300,2018-12-02
516,cash,1400,2015-08-09
517,cash,2000,2019-12-26
518,cash,1400,2017-07-30
519,cash,1800,2019-09-07
520,cash,2000,2016-01-27
521,cash,1300,2019-07-28
522,cash,1000,2018-10-24
523,cash,600,2018-02-13
524,cash,2400,2019-08-20
525,cash,300,2019-09-19
526,cash,1500,2018-02-01
527,cash,2300,2018-09-29
528,cash,700,2019-07-20
529,cash,800,2016-03-23
530,cash,500,2015-08-04
531,cash,600,2019-03-07
532,cash,600,2013-06-21
533,cash,500,2017-05-14
534,cash,500,2013-08-16
535,cash,300,2013-07-28
536,cash,2400,2018-12-21
537,cash,1900,2017-04-05
538,cash,1700,2018-07-03
539,cash,300,2019-06-06
540,cash,1200,2019-09-06
541,cash,1200,2011-09-22
542,cash,2200,2019-12-30
543,cash,900,2016-02-06
544,cash,1200,2015-01-30
545,cash,1000,2019-06-04
546,cash,500,2018-11-05
547,cash,1500,2017-07-17
548,cash,800,2017-10-24
549,cash,1500,2014-03-03
550,cash,1200,2014-08-09
551,cash,2100,2019-04-24
552,cash,400,2019-10-13
553,cash,1200,2016-12-19
554,cash,2300,2019-04-03
555,cash,1300,2018-04-01
556,cash,1600,2011-12-16
557,cash,1500,2019-12-31
558,cash,600,2019-11-07
559,cash,1900,2019-12-01
560,cash,1200,2019-11-16
561,cash,1400,2019-12-18
562,cash,1500,2014-02-03
563,cash,1800,2018-06-11
564,cash,2400,2014-04-24
565,cash,1300,2019-05-25
566,cash,900,2019-05-08
567,cash,2000,2019-07-06
568,cash,1300,2015-05-28
569,cash,1800,2014-06-16
570,cash,400,2019-04-28
571,cash,2100,2018-11-06
572,cash,1500,2019-07-13
573,cash,2000,2019-12-29
574,cash,2100,2017-04-29
575,cash,700,2018-08-04
576,cash,1400,2019-11-23
577,cash,1200,2012-06-09
578,cash,2300,2014-03-23
579,cash,2300,2017-03-26
580,cash,2100,2019-10-18
581,cash,1400,2019-06-12
582,cash,700,2018-08-06
583,cash,1400,2014-12-12
584,cash,1300,2019-04-15
585,cash,2500,2018-06-11
586,cash,400,2019-06-14
587,cash,2300,2018-10-27
588,cash,1900,2017-02-23
589,cash,1400,2018-05-07
590,cash,1500,2019-01-09
591,cash,1500,2015-12-17
592,cash,1500,2012-05-12
593,cash,1100,2018-12-01
594,cash,1100,2019-01-24
595,cash,1900,2019-01-22
596,cash,1900,2017-07-17
597,cash,1500,2019-07-04
598,cash,1700,2019-11-05
599,cash,1500,2019-09-14
600,cash,1900,2013-06-25
601,cash,2100,2019-05-05
602,cash,800,2018-04-10
603,cash,1600,2016-04-03
604,cash,600,2017-12-20
605,cash,2100,2019-08-15
606,cash,1800,2015-04-18
607,cash,2100,2015-08-06
608,cash,1800,2018-06-21
609,cash,2200,2019-10-27
610,cash,2500,2012-10-07
611,cash,1000,2018-01-08
612,cash,500,2016-12-07
613,cash,500,2015-10-16
614,cash,800,2014-11-25
615,cash,500,2011-07-23
616,cash,2200,2019-01-20
617,cash,1900,2012-06-26
618,cash,2100,2017-10-29
619,cash,1200,2018-03-05
620,cash,600,2015-08-14
621,cash,900,2019-12-28
622,cash,1300,2017-08-16
623,cash,900,2018-09-30
624,cash,500,2018-07-19
625,cash,1100,2018-12-10
626,cash,2200,2013-06-10
627,cash,1500,2019-04-16
628,cash,2200,2019-11-01
629,cash,400,2014-03-19
630,cash,1300,2011-04-11
631,cash,2400,2014-09-05
632,cash,300,2015-12-29
633,cash,2500,2016-10-11
634,cash,1600,2018-10-26
635,cash,1800,2013-07-03
636,cash,300,2017-12-03
637,cash,1700,2018-09-27
638,cash,900,2019-12-05
639,cash,2300,2018-05-17
640,cash,2200,2017-09-25
641,cash,600,2014-04-12
642,cash,2100,2012-06-16
643,cash,1100,2018-10-19
644,cash,600,2018-09-23
645,cash,300,2015-03-31
646,cash,2400,2013-11-11
647,cash,2300,2017-04-25
648,cash,2400,2019-11-30
649,cash,1200,2019-09-13
650,cash,1700,2017-11-29
651,cash,1100,2018-01-20
652,cash,400,2019-03-30
653,cash,600,2016-11-19
654,cash,2200,2019-12-31
655,cash,300,2013-08-12
656,cash,400,2019-12-26
657,cash,2200,2011-11-10
658,cash,1800,2016-03-03
659,cash,700,2015-04-19
660,cash,1900,2018-08-01
661,cash,1400,2018-08-04
662,cash,2500,2019-02-24
663,cash,1300,2017-08-27
664,cash,1700,2017-12-04
665,cash,1100,2013-03-14
666,cash,1800,2018-09-29
667,cash,2500,2019-06-17
668,cash,500,2014-10-01
669,cash,700,2019-07-13
670,cash,2400,2019-05-12
671,cash,2300,2018-10-23
672,cash,1400,2018-10-14
673,cash,1300,2014-01-31
674,cash,1900,2019-08-21
675,cash,900,2019-09-16
676,cash,1500,2017-09-17
677,cash,1500,2019-10-31
678,cash,2500,2017-01-11
679,cash,2100,2015-01-21
680,cash,1900,2017-09-14
681,cash,1400,2019-11-14
682,cash,1200,2017-07-09
683,cash,1300,2018-05-09
684,cash,900,2018-01-16
685,cash,800,2012-07-04
686,cash,500,2019-09-15
687,cash,2300,2019-03-14
688,cash,500,2017-05-19
689,cash,700,2019-07-07
690,cash,1700,2019-04-07
691,cash,800,2019-10-29
692,cash,1000,2016-10-29
693,cash,1800,2019-07-14
694,cash,1400,2019-12-22
695,cash,2300,2019-04-05
696,cash,900,2018-12-21
697,cash,300,2019-09-09
698,cash,1500,2013-05-16
699,cash,1700,2019-10-27
700,cash,1600,2019-12-04
701,cash,2500,2015-06-19
702,cash,2500,2013-04-04
703,cash,2000,2016-09-11
704,cash,2500,2018-02-16
705,cash,1100,2013-09-28
706,cash,1500,2019-12-10
707,cash,2500,2018-09-14
708,cash,1700,2018-04-07
709,cash,2200,2019-10-08
710,cash,2000,2019-03-30
711,cash,1900,2019-09-13
712,cash,1700,2019-11-05
713,cash,1200,2013-05-25
714,cash,300,2018-05-06
715,cash,1200,2019-06-24
716,cash,600,2015-02-23
717,cash,2500,2014-01-15
718,cash,400,2017-07-18
719,cash,2400,2019-07-11
720,cash,1300,2018-05-26
721,cash,2200,2015-10-20
722,cash,1500,2019-10-11
723,cash,1500,2018-06-19
724,cash,1200,2012-12-16
725,cash,2200,2012-05-22
726,cash,500,2016-05-22
727,cash,1000,2019-11-14
728,cash,1900,2018-01-07
729,cash,400,2017-04-10
730,cash,700,2019-04-08
731,cash,1200,2016-06-20
732,cash,500,2019-03-17
733,cash,2500,2019-10-06
734,cash,2000,2019-07-09
735,cash,1400,2016-11-28
736,cash,400,2015-06-03
737,cash,1000,2013-04-22
738,cash,1700,2019-10-03
739,cash,2500,2016-09-07
740,cash,800,2016-05-15
741,cash,800,2019-04-11
742,cash,1200,2017-11-29
743,cash,1100,2019-09-28
744,cash,1200,2018-11-20
745,cash,700,2018-12-28
746,cash,500,2019-11-06
747,cash,1000,2015-04-22
748,cash,2000,2014-11-20
749,cash,1200,2018-12-24
750,cash,2200,2019-03-27
751,cash,300,2019-08-11
752,cash,500,2019-11-12
753,cash,500,2018-04-11
754,cash,2100,2016-05-04
755,cash,500,2019-04-05
756,cash,1500,2016-01-05
757,cash,800,2015-05-22
758,cash,2300,2015-08-26
759,cash,1400,2017-02-28
760,cash,2100,2017-01-08
761,cash,400,2013-11-06
762,cash,300,2018-09-23
763,cash,1600,2019-09-27
764,cash,2500,2019-06-08
765,cash,800,2019-02-16
766,cash,2000,2015-10-25
767,cash,400,2018-11-21
768,cash,2400,2018-08-08
769,cash,1200,2017-11-05
770,cash,2100,2019-09-29
771,cash,1800,2019-05-19
772,cash,1400,2016-04-07
773,cash,2400,2018-06-21
774,cash,1300,2019-03-26
775,cash,1600,2015-06-20
776,cash,1600,2010-05-17
777,cash,700,2015-04-21
778,cash,1800,2019-08-27
779,cash,2400,2018-08-11
780,cash,1600,2015-01-25
781,cash,1600,2019-11-13
782,cash,1900,2018-07-28
783,cash,800,2018-08-20
784,cash,1400,2019-10-03
785,cash,600,2017-11-04
786,cash,1600,2015-01-12
787,cash,1600,2017-09-04
788,cash,500,2019-12-28
789,cash,1100,2018-07-12
790,cash,1100,2019-11-11
791,cash,1000,2015-05-27
792,cash,2300,2015-12-15
793,cash,2400,2011-03-24
794,cash,2000,2012-02-27
795,cash,1100,2017-11-26
796,cash,2300,2018-09-22
797,cash,1900,2017-11-09
798,cash,1500,2016-04-10
799,cash,400,2018-03-17
800,cash,1100,2018-06-06
801,cash,300,2016-11-21
802,cash,1800,2014-10-13
803,cash,1000,2010-09-02
804,cash,600,2018-04-10
805,cash,1800,2017-06-20
806,cash,1700,2017-12-18
807,cash,1700,2018-12-17
808,cash,2500,2019-04-06
809,cash,2400,2018-05-26
810,cash,400,2016-07-24
811,cash,1100,2019-11-20
812,cash,500,2019-04-19
813,cash,900,2016-04-02
814,cash,2300,2017-08-23
815,cash,2000,2019-04-16
816,cash,1000,2019-01-26
817,cash,900,2019-10-03
818,cash,1200,2017-07-01
819,cash,800,2014-08-26
820,cash,1900,2019-05-17
821,cash,2100,2019-04-03
822,cash,1700,2015-12-04
823,cash,1200,2016-09-09
824,cash,1700,2014-11-11
825,cash,400,2013-10-03
826,cash,2200,2019-12-06
827,cash,1200,2012-12-27
828,cash,1200,2019-04-28
829,cash,1700,2019-12-22
830,cash,1600,2017-07-05
831,cash,1300,2018-09-07
832,cash,2100,2018-09-20
833,cash,900,2017-02-26
834,cash,1900,2018-02-23
835,cash,500,2013-09-23
836,cash,1400,2014-04-21
837,cash,1700,2018-08-19
838,cash,300,2016-08-03
839,cash,2500,2018-12-19
840,cash,2000,2018-10-18
841,cash,1600,2016-05-06
842,cash,1700,2013-05-26
843,cash,1100,2013-10-16
844,cash,1400,2014-01-02
845,cash,1500,2019-08-24
846,cash,800,2017-09-06
847,cash,1600,2019-04-22
848,cash,600,2018-06-03
849,cash,2400,2019-11-24
850,cash,300,2016-12-03
851,cash,2200,2014-12-24
852,cash,2400,2011-10-07
853,cash,1200,2017-08-21
854,cash,1700,2016-03-30
855,cash,1200,2017-06-27
856,cash,900,2018-10-27
857,cash,1600,2015-12-28
858,cash,1200,2017-04-04
859,cash,800,2019-04-23
860,cash,800,2017-11-07
861,cash,900,2013-05-23
862,cash,1700,2014-07-12
863,cash,400,2017-03-10
864,cash,2000,2016-06-06
865,cash,900,2017-05-01
866,cash,2100,2012-11-28
867,cash,600,2019-11-29
868,cash,2500,2017-08-14
869,cash,500,2018-12-12
870,cash,800,2018-08-31
871,cash,2100,2019-12-19
872,cash,2400,2014-05-20
873,cash,900,2018-11-16
874,cash,2400,2017-05-31
875,cash,2500,2019-01-26
876,cash,1700,2018-06-20
877,cash,500,2016-02-17
878,cash,1400,2016-05-01
879,cash,1700,2016-01-26
880,cash,1800,2017-07-27
881,cash,1500,2016-08-06
882,cash,2100,2018-08-17
883,cash,1700,2014-06-15
884,cash,1300,2018-07-26
885,cash,1700,2016-10-31
886,cash,1300,2016-03-31
887,cash,2100,2016-04-25
888,cash,800,2013-03-23
889,cash,900,2018-06-22
890,cash,500,2017-10-14
891,cash,1600,2014-05-28
892,cash,2000,2019-06-28
893,cash,300,2015-12-14
894,cash,2100,2019-08-07
895,cash,1000,2013-11-26
896,cash,300,2013-12-31
897,cash,800,2018-03-22
898,cash,2000,2017-09-08
899,cash,300,2017-06-17
900,cash,1000,2017-08-29
901,cash,1500,2019-09-20
902,cash,2000,2018-05-14
903,cash,1400,2018-10-22
904,cash,2300,2019-11-24
905,cash,1100,2019-04-27
906,cash,1100,2019-11-26
907,cash,1600,2018-05-31
908,cash,900,2018-03-17
909,cash,1500,2015-10-23
910,cash,600,2018-01-30
911,cash,700,2019-05-31
912,cash,1500,2019-08-12
913,cash,1300,2013-02-24
914,cash,900,2017-07-12
915,cash,2000,2018-01-20
916,cash,1300,2015-03-19
917,cash,300,2016-01-04
918,cash,1700,2019-07-19
919,cash,1600,2019-09-09
920,cash,800,2016-01-28
921,cash,1100,2012-01-11
922,cash,1400,2013-06-04
923,cash,900,2018-12-25
924,cash,2500,2015-09-08
925,cash,2200,2018-07-15
926,cash,2500,2017-07-25
927,cash,1400,2014-10-20
928,cash,1100,2014-04-21
929,cash,1700,2019-09-07
930,cash,500,2017-03-30
931,cash,800,2019-10-26
932,cash,400,2019-05-07
933,cash,1900,2017-10-09
934,cash,1400,2015-01-09
935,cash,1600,2017-12-18
936,cash,2100,2018-02-18
937,cash,2200,2014-05-21
938,cash,2000,2019-12-17
939,cash,1700,2018-04-28
940,cash,1200,2015-02-20
941,cash,1700,2019-11-02
942,cash,1000,2018-09-01
943,cash,2100,2018-11-22
944,cash,1200,2015-09-14
945,cash,1700,2015-12-10
946,cash,700,2018-06-23
947,cash,1200,2012-03-22
