payment_id,payment_type,payment_amount,payment_date,payment_due
65,cash,1400,2019-03-28,2019-04-27
66,cash,2400,2017-10-16,2017-11-15
67,cash,1100,2019-05-02,2019-06-01
68,cash,1300,2015-06-19,2015-07-19
69,cash,1100,2018-10-25,2018-11-24
70,cash,400,2019-05-08,2019-06-07
71,cash,2200,2014-04-25,2014-05-25
72,cash,400,2011-11-26,2011-12-26
73,cash,1600,2015-10-23,2015-11-22
74,cash,1900,2012-09-09,2012-10-09
75,cash,900,2018-05-23,2018-06-22
76,cash,1000,2019-09-05,2019-10-05
77,cash,1800,2019-12-28,2020-01-27
78,cash,2500,2019-05-26,2019-06-25
79,cash,2300,2018-10-03,2018-11-02
80,cash,800,2017-01-04,2017-02-03
81,cash,1000,2019-05-06,2019-06-05
82,cash,700,2019-10-29,2019-11-28
83,cash,1800,2015-12-06,2016-01-05
84,cash,1600,2012-04-29,2012-05-29
85,cash,2100,2019-06-07,2019-07-07
86,cash,900,2012-11-12,2012-12-12
87,cash,500,2017-05-08,2017-06-07
88,cash,400,2019-12-24,2020-01-23
89,cash,1900,2013-08-25,2013-09-24
90,cash,2100,2016-05-01,2016-05-31
91,cash,1200,2019-12-31,2020-01-30
92,cash,2400,2018-11-18,2018-12-18
93,cash,1000,2016-04-21,2016-05-21
94,cash,1800,2016-08-02,2016-09-01
95,cash,600,2014-06-25,2014-07-25
96,cash,500,2018-09-03,2018-10-03
97,cash,1400,2014-01-09,2014-02-08
98,cash,1900,2018-04-17,2018-05-17
99,cash,2400,2019-02-02,2019-03-04
100,cash,1400,2014-05-08,2014-06-07
101,cash,1000,2017-03-10,2017-04-09
102,cash,2200,2018-10-08,2018-11-07
103,cash,1000,2019-03-09,2019-04-08
104,cash,1400,2018-06-16,2018-07-16
105,cash,2300,2019-03-23,2019-04-22
106,cash,1900,2014-11-16,2014-12-16
107,cash,1000,2014-03-22,2014-04-21
108,cash,400,2019-10-10,2019-11-09
109,cash,1700,2019-05-12,2019-06-11
110,cash,2100,2017-01-07,2017-02-06
111,cash,1300,2019-11-02,2019-12-02
112,cash,2300,2019-10-15,2019-11-14
113,cash,900,2018-01-15,2018-02-14
114,cash,300,2016-08-23,2016-09-22
115,cash,2100,2019-10-11,2019-11-10
116,cash,400,2019-05-14,2019-06-13
117,cash,300,2018-04-02,2018-05-02
118,cash,300,2015-12-24,2016-01-23
119,cash,1100,2014-10-25,2014-11-24
120,cash,1600,2013-07-21,2013-08-20
121,cash,2300,2019-10-14,2019-11-13
122,cash,1900,2018-06-19,2018-07-19
123,cash,1000,2019-08-15,2019-09-14
124,cash,1900,2014-03-12,2014-04-11
125,cash,2200,2019-10-11,2019-11-10
126,cash,400,2013-12-14,2014-01-13
127,cash,1800,2019-03-14,2019-04-13
128,cash,2500,2019-11-21,2019-12-21
129,cash,1300,2019-06-01,2019-07-01
130,cash,2300,2017-10-12,2017-11-11
131,cash,1500,2012-01-19,2012-02-18
132,cash,1000,2017-06-15,2017-07-15
133,cash,700,2013-11-10,2013-12-10
134,cash,900,2019-03-01,2019-03-31
135,cash,1500,2018-03-20,2018-04-19
136,cash,600,2017-09-21,2017-10-21
137,cash,2100,2016-12-24,2017-01-23
138,cash,1600,2014-03-19,2014-04-18
139,cash,1900,2012-04-02,2012-05-02
140,cash,800,2016-01-09,2016-02-08
141,cash,1800,2016-04-17,2016-05-17
142,cash,2500,2017-01-07,2017-02-06
143,cash,1100,2016-02-12,2016-03-13
144,cash,500,2017-03-22,2017-04-21
145,cash,2100,2016-06-19,2016-07-19
146,cash,1000,2019-09-15,2019-10-15
147,cash,2100,2017-05-14,2017-06-13
148,cash,2000,2019-07-08,2019-08-07
149,cash,2100,2019-11-11,2019-12-11
150,cash,1700,2012-01-25,2012-02-24
151,cash,1800,2017-07-14,2017-08-13
152,cash,2500,2018-11-19,2018-12-19
153,cash,600,2013-10-31,2013-11-30
154,cash,2000,2015-09-19,2015-10-19
155,cash,1900,2019-08-17,2019-09-16
156,cash,400,2019-01-16,2019-02-15
157,cash,1400,2017-11-22,2017-12-22
158,cash,1700,2018-10-13,2018-11-12
159,cash,2400,2019-10-07,2019-11-06
160,cash,800,2017-06-21,2017-07-21
161,cash,800,2017-08-14,2017-09-13
162,cash,300,2018-08-07,2018-09-06
163,cash,1500,2019-12-17,2020-01-16
164,cash,2200,2019-11-28,2019-12-28
165,cash,1200,2013-02-25,2013-03-27
166,cash,2000,2019-02-04,2019-03-06
167,cash,800,2016-06-16,2016-07-16
168,cash,1200,2014-12-22,2015-01-21
169,cash,2100,2019-09-07,2019-10-07
170,cash,2100,2018-12-23,2019-01-22
171,cash,500,2019-10-08,2019-11-07
172,cash,1600,2019-06-30,2019-07-30
173,cash,1200,2011-08-16,2011-09-15
174,cash,1600,2017-02-05,2017-03-07
175,cash,2000,2019-03-19,2019-04-18
176,cash,1700,2016-07-26,2016-08-25
177,cash,900,2019-03-08,2019-04-07
178,cash,2400,2016-01-20,2016-02-19
179,cash,1600,2019-09-17,2019-10-17
180,cash,2000,2016-04-30,2016-05-30
181,cash,1100,2018-05-24,2018-06-23
182,cash,1600,2016-05-26,2016-06-25
183,cash,700,2016-03-02,2016-04-01
184,cash,400,2013-06-05,2013-07-05
185,cash,2100,2018-08-13,2018-09-12
186,cash,1400,2019-07-17,2019-08-16
187,cash,300,2011-02-17,2011-03-19
188,cash,1800,2018-07-07,2018-08-06
189,cash,700,2012-08-09,2012-09-08
190,cash,1000,2017-10-01,2017-10-31
191,cash,400,2019-02-13,2019-03-15
192,cash,400,2019-10-23,2019-11-22
193,cash,800,2019-12-12,2020-01-11
194,cash,1900,2018-01-29,2018-02-28
195,cash,1400,2019-08-05,2019-09-04
196,cash,1500,2017-10-04,2017-11-03
197,cash,1400,2012-02-13,2012-03-14
198,cash,2000,2019-01-22,2019-02-21
199,cash,1000,2016-05-06,2016-06-05
200,cash,1300,2019-12-14,2020-01-13
201,cash,2400,2018-09-01,2018-10-01
202,cash,1700,2016-04-18,2016-05-18
203,cash,2300,2013-09-28,2013-10-28
204,cash,1300,2013-02-23,2013-03-25
205,cash,1600,2018-12-30,2019-01-29
206,cash,1700,2015-06-07,2015-07-07
207,cash,900,2014-02-27,2014-03-29
208,cash,1800,2018-08-08,2018-09-07
209,cash,1300,2019-10-03,2019-11-02
210,cash,2500,2018-01-16,2018-02-15
211,cash,1200,2013-01-22,2013-02-21
212,cash,2100,2018-07-05,2018-08-04
213,cash,1000,2019-02-06,2019-03-08
214,cash,1900,2018-11-28,2018-12-28
215,cash,1200,2017-12-04,2018-01-03
216,cash,2300,2019-12-18,2020-01-17
217,cash,600,2019-02-26,2019-03-28
218,cash,2100,2019-08-05,2019-09-04
219,cash,1900,2019-03-13,2019-04-12
220,cash,2000,2019-05-27,2019-06-26
221,cash,900,2019-07-27,2019-08-26
222,cash,400,2013-01-03,2013-02-02
223,cash,1500,2016-02-20,2016-03-21
224,cash,1300,2017-06-03,2017-07-03
225,cash,1600,2013-04-07,2013-05-07
226,cash,1300,2018-07-15,2018-08-14
227,cash,500,2018-09-27,2018-10-27
228,cash,400,2019-06-26,2019-07-26
229,cash,1100,2014-02-22,2014-03-24
230,cash,900,2017-04-05,2017-05-05
231,cash,2400,2019-09-17,2019-10-17
232,cash,1000,2016-12-09,2017-01-08
233,cash,400,2015-09-15,2015-10-15
234,cash,2300,2018-09-04,2018-10-04
235,cash,600,2010-07-11,2010-08-10
236,cash,400,2014-11-28,2014-12-28
237,cash,1400,2019-07-09,2019-08-08
238,cash,1300,2019-06-27,2019-07-27
239,cash,600,2019-01-15,2019-02-14
240,cash,1500,2017-06-13,2017-07-13
241,cash,2000,2019-12-10,2020-01-09
242,cash,1600,2018-05-09,2018-06-08
243,cash,900,2011-05-17,2011-06-16
244,cash,1100,2018-10-22,2018-11-21
245,cash,2100,2015-09-02,2015-10-02
246,cash,1400,2018-06-05,2018-07-05
247,cash,1700,2013-04-29,2013-05-29
248,cash,400,2017-07-22,2017-08-21
249,cash,2000,2015-03-17,2015-04-16
250,cash,1800,2018-12-30,2019-01-29
251,cash,2000,2018-05-02,2018-06-01
252,cash,2400,2019-03-26,2019-04-25
253,cash,900,2014-10-14,2014-11-13
254,cash,2200,2013-05-29,2013-06-28
255,cash,1000,2017-01-15,2017-02-14
256,cash,1800,2016-08-10,2016-09-09
257,cash,1600,2018-09-28,2018-10-28
258,cash,600,2016-01-09,2016-02-08
259,cash,1900,2019-10-28,2019-11-27
260,cash,2200,2019-02-06,2019-03-08
261,cash,1800,2018-05-14,2018-06-13
262,cash,2100,2017-03-18,2017-04-17
263,cash,1600,2019-03-20,2019-04-19
264,cash,300,2012-12-26,2013-01-25
265,cash,2200,2018-11-29,2018-12-29
266,cash,1600,2017-04-05,2017-05-05
267,cash,1700,2014-03-11,2014-04-10
268,cash,2200,2017-12-04,2018-01-03
269,cash,1300,2019-10-22,2019-11-21
270,cash,800,2019-11-06,2019-12-06
271,cash,300,2018-04-30,2018-05-30
272,cash,400,2019-11-06,2019-12-06
273,cash,2300,2019-01-06,2019-02-05
274,cash,400,2018-08-19,2018-09-18
275,cash,1300,2014-11-09,2014-12-09
276,cash,2100,2018-07-02,2018-08-01
277,cash,1200,2018-01-08,2018-02-07
278,cash,1300,2016-05-18,2016-06-17
279,cash,300,2019-07-23,2019-08-22
280,cash,1200,2019-10-05,2019-11-04
281,cash,1800,2015-01-31,2015-03-02
282,cash,1800,2019-02-07,2019-03-09
283,cash,600,2019-08-14,2019-09-13
284,cash,500,2011-05-15,2011-06-14
285,cash,1000,2018-12-14,2019-01-13
286,cash,2300,2019-09-16,2019-10-16
287,cash,1100,2019-11-25,2019-12-25
288,cash,700,2019-01-12,2019-02-11
289,cash,1800,2019-05-21,2019-06-20
290,cash,1600,2019-10-18,2019-11-17
291,cash,2500,2018-01-08,2018-02-07
292,cash,1900,2018-02-24,2018-03-26
293,cash,1300,2017-05-04,2017-06-03
294,cash,2200,2015-12-16,2016-01-15
295,cash,1300,2019-08-10,2019-09-09
296,cash,2300,2013-03-16,2013-04-15
297,cash,700,2019-01-07,2019-02-06
298,cash,2100,2017-02-13,2017-03-15
299,cash,1900,2019-11-15,2019-12-15
300,cash,1700,2014-05-01,2014-05-31
301,cash,500,2018-01-17,2018-02-16
302,cash,2400,2016-04-09,2016-05-09
303,cash,2100,2019-05-23,2019-06-22
304,cash,600,2015-03-20,2015-04-19
305,cash,800,2018-05-18,2018-06-17
306,cash,1400,2017-09-13,2017-10-13
307,cash,900,2018-11-05,2018-12-05
308,cash,2100,2015-03-16,2015-04-15
309,cash,2500,2019-01-18,2019-02-17
310,cash,1300,2019-09-15,2019-10-15
311,cash,700,2014-02-27,2014-03-29
312,cash,900,2013-12-17,2014-01-16
313,cash,700,2019-08-26,2019-09-25
314,cash,1200,2019-08-13,2019-09-12
315,cash,2300,2019-12-16,2020-01-15
316,cash,1300,2013-07-08,2013-08-07
317,cash,1700,2018-11-21,2018-12-21
318,cash,2400,2019-12-31,2020-01-30
319,cash,1700,2016-07-25,2016-08-24
320,cash,1100,2019-11-27,2019-12-27
321,cash,1100,2014-08-06,2014-09-05
322,cash,400,2019-01-11,2019-02-10
323,cash,600,2015-03-06,2015-04-05
324,cash,1100,2015-11-06,2015-12-06
325,cash,1300,2018-07-29,2018-08-28
326,cash,1500,2019-08-31,2019-09-30
327,cash,2500,2019-08-30,2019-09-29
328,cash,2500,2019-12-27,2020-01-26
329,cash,2000,2019-01-24,2019-02-23
330,cash,2400,2018-02-22,2018-03-24
331,cash,2300,2019-09-27,2019-10-27
332,cash,1300,2017-01-20,2017-02-19
333,cash,1500,2019-01-07,2019-02-06
334,cash,1900,2019-02-14,2019-03-16
335,cash,500,2018-12-24,2019-01-23
336,cash,1200,2019-05-06,2019-06-05
337,cash,1400,2015-11-16,2015-12-16
338,cash,1000,2017-03-21,2017-04-20
339,cash,300,2011-06-09,2011-07-09
340,cash,2300,2016-05-24,2016-06-23
341,cash,500,2015-05-16,2015-06-15
342,cash,300,2017-04-11,2017-05-11
343,cash,700,2019-10-22,2019-11-21
344,cash,400,2019-12-02,2020-01-01
345,cash,1500,2015-12-04,2016-01-03
346,cash,1200,2019-12-28,2020-01-27
347,cash,2100,2016-06-11,2016-07-11
348,cash,1100,2016-04-19,2016-05-19
349,cash,700,2019-02-19,2019-03-21
350,cash,800,2018-12-21,2019-01-20
351,cash,800,2015-11-20,2015-12-20
352,cash,300,2018-11-12,2018-12-12
353,cash,1900,2014-12-30,2015-01-29
354,cash,2200,2019-06-04,2019-07-04
355,cash,2100,2018-06-05,2018-07-05
356,cash,600,2015-09-23,2015-10-23
357,cash,2500,2016-01-29,2016-02-28
358,cash,700,2016-09-14,2016-10-14
359,cash,2200,2015-06-23,2015-07-23
360,cash,1600,2017-10-24,2017-11-23
361,cash,2000,2019-12-06,2020-01-05
362,cash,1200,2013-05-08,2013-06-07
363,cash,1000,2018-08-06,2018-09-05
364,cash,2000,2017-05-20,2017-06-19
365,cash,2500,2018-11-09,2018-12-09
366,cash,700,2019-02-18,2019-03-20
367,cash,1900,2013-12-09,2014-01-08
368,cash,1200,2018-11-09,2018-12-09
369,cash,900,2014-04-26,2014-05-26
370,cash,1400,2019-06-12,2019-07-12
371,cash,1400,2015-06-06,2015-07-06
372,cash,1000,2019-07-19,2019-08-18
373,cash,1000,2019-12-31,2020-01-30
374,cash,600,2018-08-14,2018-09-13
375,cash,2300,2018-11-27,2018-12-27
376,cash,900,2016-03-27,2016-04-26
377,cash,800,2019-09-19,2019-10-19
378,cash,2400,2017-08-29,2017-09-28
379,cash,900,2019-09-09,2019-10-09
380,cash,300,2017-12-18,2018-01-17
381,cash,1100,2019-08-31,2019-09-30
382,cash,300,2014-03-29,2014-04-28
383,cash,1700,2019-11-27,2019-12-27
384,cash,2400,2014-12-10,2015-01-09
385,cash,2300,2016-04-29,2016-05-29
386,cash,1000,2019-11-24,2019-12-24
387,cash,400,2019-07-29,2019-08-28
388,cash,700,2017-01-06,2017-02-05
389,cash,1500,2019-12-08,2020-01-07
390,cash,400,2015-02-03,2015-03-05
391,cash,1600,2014-02-02,2014-03-04
392,cash,2300,2018-11-20,2018-12-20
393,cash,500,2016-09-11,2016-10-11
394,cash,700,2015-10-08,2015-11-07
395,cash,1500,2018-11-05,2018-12-05
396,cash,300,2019-10-17,2019-11-16
397,cash,2000,2019-11-13,2019-12-13
398,cash,1800,2017-11-30,2017-12-30
399,cash,2500,2019-06-19,2019-07-19
400,cash,1400,2018-11-30,2018-12-30
401,cash,1300,2019-01-17,2019-02-16
402,cash,1600,2019-05-29,2019-06-28
403,cash,2100,2019-11-07,2019-12-07
404,cash,1800,2010-07-26,2010-08-25
405,cash,1400,2016-02-13,2016-03-14
406,cash,1000,2017-10-13,2017-11-12
407,cash,2000,2017-12-29,2018-01-28
408,cash,1600,2014-07-05,2014-08-04
409,cash,800,2017-05-13,2017-06-12
410,cash,500,2014-01-14,2014-02-13
411,cash,300,2018-01-14,2018-02-13
412,cash,2400,2013-04-06,2013-05-06
413,cash,1000,2019-07-21,2019-08-20
414,cash,700,2015-01-16,2015-02-15
415,cash,300,2018-06-25,2018-07-25
416,cash,1300,2019-12-07,2020-01-06
417,cash,1200,2018-10-08,2018-11-07
418,cash,1600,2019-04-07,2019-05-07
419,cash,2000,2012-10-04,2012-11-03
420,cash,1200,2018-12-14,2019-01-13
421,cash,2200,2017-11-01,2017-12-01
422,cash,400,2018-03-09,2018-04-08
423,cash,2000,2018-09-22,2018-10-22
424,cash,700,2017-10-17,2017-11-16
425,cash,1000,2017-09-06,2017-10-06
426,cash,500,2019-03-23,2019-04-22
427,cash,500,2016-12-03,2017-01-02
428,cash,300,2019-06-09,2019-07-09
429,cash,1800,2014-09-13,2014-10-13
430,cash,2100,2019-09-06,2019-10-06
431,cash,1800,2019-12-26,2020-01-25
432,cash,1300,2018-03-02,2018-04-01
433,cash,700,2014-08-26,2014-09-25
434,cash,2200,2018-10-28,2018-11-27
435,cash,1600,2019-11-01,2019-12-01
436,cash,2100,2018-02-28,2018-03-30
437,cash,1300,2019-03-05,2019-04-04
438,cash,1700,2017-09-14,2017-10-14
439,cash,1700,2019-03-14,2019-04-13
440,cash,1000,2018-11-25,2018-12-25
441,cash,1600,2017-04-12,2017-05-12
442,cash,1400,2015-12-31,2016-01-30
443,cash,1100,2016-01-20,2016-02-19
444,cash,600,2018-12-17,2019-01-16
445,cash,1600,2019-08-03,2019-09-02
446,cash,2400,2011-08-26,2011-09-25
447,cash,2100,2016-01-27,2016-02-26
448,cash,1600,2011-11-28,2011-12-28
449,cash,600,2019-02-26,2019-03-28
450,cash,600,2019-02-02,2019-03-04
451,cash,300,2019-04-29,2019-05-29
452,cash,600,2019-12-31,2020-01-30
453,cash,1600,2016-02-24,2016-03-25
454,cash,1000,2019-06-19,2019-07-19
455,cash,2000,2019-11-27,2019-12-27
456,cash,1400,2017-05-18,2017-06-17
457,cash,1100,2019-12-26,2020-01-25
458,cash,2200,2017-08-11,2017-09-10
459,cash,2200,2019-11-26,2019-12-26
460,cash,1200,2019-12-09,2020-01-08
461,cash,1000,2012-08-07,2012-09-06
462,cash,1700,2018-11-09,2018-12-09
463,cash,2000,2017-07-11,2017-08-10
464,cash,300,2019-10-07,2019-11-06
465,cash,300,2014-10-16,2014-11-15
466,cash,1700,2019-02-16,2019-03-18
467,cash,600,2019-08-31,2019-09-30
468,cash,2300,2017-04-22,2017-05-22
469,cash,1300,2016-05-23,2016-06-22
470,cash,1500,2019-07-08,2019-08-07
471,cash,1300,2018-03-22,2018-04-21
472,cash,2400,2018-01-28,2018-02-27
473,cash,2100,2019-07-24,2019-08-23
474,cash,800,2017-11-17,2017-12-17
475,cash,1100,2016-07-09,2016-08-08
476,cash,900,2018-03-28,2018-04-27
477,cash,2000,2018-02-12,2018-03-14
478,cash,1000,2019-07-06,2019-08-05
479,cash,2400,2019-12-02,2020-01-01
480,cash,1500,2019-11-08,2019-12-08
481,cash,900,2016-11-11,2016-12-11
482,cash,1200,2018-02-23,2018-03-25
483,cash,1100,2015-12-03,2016-01-02
484,cash,1500,2017-02-18,2017-03-20
485,cash,2000,2019-11-05,2019-12-05
486,cash,500,2019-12-10,2020-01-09
487,cash,2500,2015-02-24,2015-03-26
488,cash,1600,2014-01-20,2014-02-19
489,cash,2100,2015-01-19,2015-02-18
490,cash,1600,2019-06-26,2019-07-26
491,cash,1300,2016-09-08,2016-10-08
492,cash,2200,2016-06-08,2016-07-08
493,cash,1000,2013-09-28,2013-10-28
494,cash,1400,2019-10-29,2019-11-28
495,cash,2300,2018-01-16,2018-02-15
496,cash,1800,2019-04-23,2019-05-23
497,cash,1800,2019-01-23,2019-02-22
498,cash,1500,2018-11-25,2018-12-25
499,cash,1700,2019-10-29,2019-11-28
500,cash,2300,2019-01-24,2019-02-23
501,cash,700,2018-01-05,2018-02-04
502,cash,400,2019-12-08,2020-01-07
503,cash,700,2019-09-10,2019-10-10
504,cash,1600,2013-11-13,2013-12-13
505,cash,600,2013-05-23,2013-06-22
506,cash,300,2018-12-31,2019-01-30
507,cash,1700,2019-10-16,2019-11-15
508,cash,1200,2016-01-12,2016-02-11
509,cash,1100,2019-12-28,2020-01-27
510,cash,1500,2019-04-30,2019-05-30
511,cash,2300,2018-12-30,2019-01-29
512,cash,1200,2016-12-06,2017-01-05
513,cash,900,2013-03-29,2013-04-28
514,cash,1800,2019-08-10,2019-09-09
515,cash,1900,2014-04-30,2014-05-30
516,cash,700,2015-10-19,2015-11-18
517,cash,1500,2015-11-15,2015-12-15
518,cash,400,2019-06-11,2019-07-11
519,cash,1200,2015-03-03,2015-04-02
520,cash,2200,2016-05-02,2016-06-01
521,cash,1800,2019-01-31,2019-03-02
522,cash,1300,2019-10-02,2019-11-01
523,cash,2200,2018-02-18,2018-03-20
524,cash,2500,2015-07-26,2015-08-25
525,cash,900,2018-10-26,2018-11-25
526,cash,2500,2018-12-17,2019-01-16
527,cash,700,2017-07-23,2017-08-22
528,cash,1000,2012-12-15,2013-01-14
529,cash,1300,2016-08-25,2016-09-24
530,cash,1400,2017-11-28,2017-12-28
531,cash,2100,2011-03-19,2011-04-18
532,cash,400,2018-10-18,2018-11-17
533,cash,300,2018-10-12,2018-11-11
534,cash,900,2019-03-04,2019-04-03
535,cash,2500,2018-07-07,2018-08-06
536,cash,2000,2019-09-12,2019-10-12
537,cash,2000,2016-06-09,2016-07-09
538,cash,900,2013-05-12,2013-06-11
539,cash,1500,2019-05-16,2019-06-15
540,cash,1600,2014-12-17,2015-01-16
541,cash,1100,2018-03-18,2018-04-17
542,cash,2400,2014-10-09,2014-11-08
543,cash,400,2018-01-28,2018-02-27
544,cash,500,2017-01-03,2017-02-02
545,cash,1300,2018-09-16,2018-10-16
546,cash,1700,2015-11-24,2015-12-24
547,cash,2000,2019-12-13,2020-01-12
548,cash,1800,2019-01-24,2019-02-23
549,cash,1200,2019-07-01,2019-07-31
550,cash,2300,2014-12-28,2015-01-27
551,cash,1900,2017-07-17,2017-08-16
552,cash,1400,2016-09-04,2016-10-04
553,cash,400,2016-09-21,2016-10-21
554,cash,1800,2019-10-20,2019-11-19
555,cash,800,2016-04-20,2016-05-20
556,cash,1100,2019-03-09,2019-04-08
557,cash,900,2019-01-10,2019-02-09
558,cash,800,2019-09-08,2019-10-08
559,cash,2500,2019-10-07,2019-11-06
560,cash,700,2019-12-29,2020-01-28
561,cash,700,2012-12-31,2013-01-30
562,cash,1400,2018-05-28,2018-06-27
563,cash,800,2019-07-01,2019-07-31
564,cash,1400,2017-10-31,2017-11-30
565,cash,1300,2016-02-25,2016-03-26
566,cash,2000,2019-02-27,2019-03-29
567,cash,600,2016-06-09,2016-07-09
568,cash,1500,2019-06-11,2019-07-11
569,cash,1900,2014-07-31,2014-08-30
570,cash,2300,2017-01-23,2017-02-22
571,cash,2400,2019-08-21,2019-09-20
572,cash,500,2018-12-04,2019-01-03
573,cash,2200,2015-10-15,2015-11-14
574,cash,1200,2019-10-12,2019-11-11
575,cash,1200,2014-05-12,2014-06-11
576,cash,500,2012-10-03,2012-11-02
577,cash,2100,2012-12-19,2013-01-18
578,cash,500,2015-12-06,2016-01-05
579,cash,1900,2019-01-27,2019-02-26
580,cash,1100,2013-12-05,2014-01-04
581,cash,1100,2018-11-23,2018-12-23
582,cash,1400,2017-12-15,2018-01-14
583,cash,1700,2018-12-09,2019-01-08
584,cash,600,2014-09-03,2014-10-03
585,cash,2100,2014-06-16,2014-07-16
586,cash,2200,2019-07-25,2019-08-24
587,cash,2100,2017-05-07,2017-06-06
588,cash,2000,2016-10-26,2016-11-25
589,cash,1100,2019-02-17,2019-03-19
590,cash,2500,2014-10-18,2014-11-17
591,cash,800,2019-07-19,2019-08-18
592,cash,1400,2018-01-25,2018-02-24
593,cash,1000,2015-01-15,2015-02-14
594,cash,300,2019-11-30,2019-12-30
595,cash,1600,2017-12-17,2018-01-16
596,cash,900,2018-12-16,2019-01-15
597,cash,400,2018-01-10,2018-02-09
598,cash,1000,2017-07-25,2017-08-24
599,cash,2500,2018-01-23,2018-02-22
600,cash,800,2019-12-26,2020-01-25
601,cash,600,2019-06-11,2019-07-11
602,cash,900,2017-05-10,2017-06-09
603,cash,2300,2013-03-10,2013-04-09
604,cash,600,2013-09-30,2013-10-30
605,cash,2300,2019-02-13,2019-03-15
606,cash,1600,2019-05-26,2019-06-25
607,cash,1700,2017-05-20,2017-06-19
608,cash,1300,2015-02-15,2015-03-17
609,cash,800,2018-12-04,2019-01-03
610,cash,1200,2016-05-06,2016-06-05
611,cash,1900,2016-09-15,2016-10-15
612,cash,1600,2019-03-19,2019-04-18
613,cash,1600,2016-12-12,2017-01-11
614,cash,2100,2018-07-25,2018-08-24
615,cash,1300,2018-05-20,2018-06-19
616,cash,2300,2013-08-21,2013-09-20
617,cash,1200,2013-11-16,2013-12-16
618,cash,1600,2018-10-29,2018-11-28
619,cash,1000,2018-07-26,2018-08-25
620,cash,2000,2013-03-28,2013-04-27
621,cash,1900,2016-12-05,2017-01-04
622,cash,800,2012-08-13,2012-09-12
623,cash,2200,2018-06-03,2018-07-03
624,cash,1300,2018-05-05,2018-06-04
625,cash,800,2019-10-16,2019-11-15
626,cash,300,2010-10-18,2010-11-17
627,cash,700,2018-07-11,2018-08-10
628,cash,1100,2018-07-17,2018-08-16
629,cash,2200,2019-07-25,2019-08-24
630,cash,2000,2018-05-11,2018-06-10
631,cash,2400,2018-06-30,2018-07-30
632,cash,1000,2019-07-08,2019-08-07
633,cash,1000,2011-12-17,2012-01-16
634,cash,500,2019-11-26,2019-12-26
635,cash,2300,2018-01-27,2018-02-26
636,cash,400,2016-04-06,2016-05-06
637,cash,1300,2015-05-10,2015-06-09
638,cash,700,2011-10-13,2011-11-12
639,cash,1900,2015-10-15,2015-11-14
640,cash,2400,2014-05-21,2014-06-20
641,cash,1700,2011-06-06,2011-07-06
